City,Number_crimes
Abbeville,148
Aberdeen,396
AberdeenTownship,15
Abernathy,2
Abilene,468
Abingdon,7
Abington,23
AbingtonTownshipMontgomeryCounty,53
Absecon,8
Achille,0
Ackerman,2
Acton,32
Acushnet,12
Acworth,16
Ada,74
Adair,1
Adairsville,7
Adairville,0
Adams,35
AdamsTownshipButlerCounty,13
AdamsVillage,0
Adamstown,5
Adamsville,6
Addis,9
Addison,153
AddisonTownandVillage,3
AddisonTownship,6
Adel,11
Adelanto,276
Adrian,144
AdrianTownship,2
Advance,4
Afton,0
AftonVillage,0
Agawam,82
AgouraHills,21
Ahoskie,56
Aiken,178
AirwayHeights,27
Aitkin,2
Akeley,2
Akron,1784
AkronVillage,1
Alachua,41
Alameda,162
Alamo,103
AlamoHeights,7
Alamogordo,109
Alamosa,63
Alba,0
Albany,1638
Albemarle,146
AlbertLea,38
Albia,14
Albion,80
AlbionVillage,17
Albuquerque,7596
Alcester,0
Alcoa,85
Aledo,0
AleppoTownship,0
Alexander,15
Alexandria,1060
Alexis,1
AlfredVillage,1
Algoma,2
Algona,27
Algonquin,23
Algood,13
Alhambra,161
Alice,103
AlisoViejo,27
Allegan,10
AlleganyVillage,1
AlleghenyTownshipBlairCounty,22
Allen,90
AllenPark,48
Allendale,76
Allenhurst,0
Allenstown,10
Allentown,471
Alliance,28
Alma,65
Almont,11
Alpena,58
Alpha,1
Alpharetta,75
Alpine,13
Alsip,53
Alstead,3
Alta,0
AltaVista,0
Altamont,3
AltamonteSprings,107
Altha,0
Alton,278
Altoona,273
Alturas,10
Altus,42
Alva,6
Alvarado,17
Alvin,65
Amarillo,1447
Amber,0
AmberleyVillage,2
Amboy,6
AmericanCanyon,53
AmericanFalls,2
AmericanForkCedarHills,18
AmericanTownship,0
Americus,127
Amery,8
Ames,135
Amesbury,25
Amherst,109
AmherstTown,141
Amity,1
AmityvilleVillage,3
Amsterdam,40
Anacortes,20
Anadarko,48
Anaheim,1120
Anchorage,3581
Anderson,303
Andover,8
AndoverTownship,0
Andrews,59
AngelFire,2
AngelicaVillage,0
AngelsCamp,6
Angleton,50
AnnArbor,309
Anna,48
Annandale,3
Annapolis,252
Annawan,1
Anoka,44
Ansonia,36
Anthony,56
Antioch,665
Antlers,0
Antrim,3
Apache,7
ApacheJunction,95
Apex,53
Apopka,206
Appalachia,6
AppleValley,390
Appleton,212
AppletonCity,2
Aquinnah,2
ArcadeVillage,2
Arcadia,143
Arcanum,0
Arcata,72
Archbold,5
ArcherCity,6
Archie,1
Arcola,5
Ardmore,205
ArdsleyVillage,1
ArgentineTownship,3
ArkansasCity,65
Arlington,2136
ArlingtonHeights,33
Arma,5
ArmaghTownship,2
Arnold,32
ArroyoGrande,27
Artesia,137
Arthur,1
Arvada,266
Arvin,196
AsburyPark,179
AshFlat,5
AshGrove,2
AsharokenVillage,0
Ashburnham,8
Ashdown,13
Asheville,695
Ashland,201
AshlandCity,12
Ashton,6
Ashville,4
Ashwaubenon,21
Aspen,9
Assumption,4
Astatula,3
Astoria,75
Atascadero,65
