,State,full_name,rate
0,MD,New Mexico,6462.032
1,NJ,Louisiana,6408.216
2,MA,Colorado,6090.756
3,HI,South Carolina,5972.837
4,CT,Arkansas,5898.753
5,CA,Oklahoma,5869.825
6,NH,Washington,5758.57
7,AK,Tennessee,5658.304
8,WA,Oregon,5609.893
9,VA,Missouri,5604.784
10,CO,Alaska,5358.896
11,UT,Utah,5189.516
12,MN,Hawaii,5076.88
13,NY,Arizona,4940.118
14,RI,Texas,4936.535
15,DE,North Carolina,4872.292
16,IL,Kansas,4823.212
17,OR,Alabama,4727.065
18,ND,California,4719.9
19,WY,Montana,4711.464
20,TX,North Dakota,4577.236
21,PA,Minnesota,4527.25
22,VT,Mississippi,4494.426
23,WI,South Dakota,4414.837
24,NE,Georgia,4414.802
25,NV,Delaware,4354.642
26,IA,Nevada,4313.506
27,AZ,Nebraska,4152.405
28,GA,Ohio,4009.418
29,KS,Indiana,3924.039
30,SD,Florida,3922.458
31,ME,Kentucky,3818.102
32,MI,Iowa,3699.976
33,ID,Pennsylvania,3677.679
34,IN,Maryland,3619.488
35,OH,Illinois,3544.667
36,FL,Wyoming,3455.441
37,MO,Connecticut,3311.746
38,NC,Wisconsin,3294.709
39,MT,Michigan,3199.772
40,SC,New York,3185.2
41,TN,West Virginia,3154.662
42,OK,Virginia,3121.483
43,KY,Rhode Island,2721.722
44,AL,Vermont,2607.376
45,NM,New Jersey,2511.751
46,LA,Idaho,2466.346
47,AR,Maine,2420.932
48,WV,Massachusetts,2415.177
49,MS,New Hampshire,2344.184
