"State","Abbr","HouseholdIncome"
"Maryland","MD","87063"
"New Jersey","NJ","85245"
"Massachusetts","MA","84385"
"Hawaii","HI","83173"
"Connecticut","CT","79855"
"California","CA","78672"
"New Hampshire","NH","77923"
"Alaska","AK","77790"
"Washington","WA","77006"
"Virginia","VA","76398"
"Colorado","CO","75231"
"Utah","UT","74197"
"Minnesota","MN","73382"
"New York","NY","71117"
"Rhode Island","RI","70305"
"Delaware","DE","69110"
"Illinois","IL","68428"
"Oregon","OR","65667"
"North Dakota","ND","65315"
"Wyoming","WY","65304"
"Texas","TX","63826"
"Pennsylvania","PA","63627"
"Vermont","VT","63477"
"Wisconsin","WI","63293"
"Nebraska","NE","63015"
"Nevada","NV","62043"
"Iowa","IA","61836"
"Arizona","AZ","61529"
"Georgia","GA","61224"
"Kansas","KS","61091"
"South Dakota","SD","59896"
"Maine","ME","59489"
"Michigan","MI","59234"
"Idaho","ID","58915"
"Indiana","IN","58235"
"Ohio","OH","58116"
"Florida","FL","57703"
"Missouri","MO","57290"
"North Carolina","NC","56642"
"Montana","MT","56539"
"South Carolina","SC","54864"
"Tennessee","TN","54833"
"Oklahoma","OK","53840"
"Kentucky","KY","52238"
"Alabama","AL","52035"
"New Mexico","NM","51243"
"Louisiana","LA","50800"
"Arkansas","AR","49475"
"West Virginia","WV","48037"
"Mississippi","MS","46511"
